table_schema,table_name,table_comment,column_count
public,addresses,,18
public,cart_items,,10
public,carts,,5
public,categories,,6
public,contacts,,12
public,coupons,,17
public,global_allowed_payment_methods,,1
public,gmail_tokens,,3
public,option_labels,,8
public,order_addresses,,14
public,order_groups,,6
public,order_items,,8
public,orders,,31
public,partner_allowed_payment_methods,,4
public,partners,取引先（主に飲食店などの法人・団体・個人事業主）,26
public,password_reset_tokens,,6
public,payments,,8
public,product_images,,12
public,product_reviews,,9
public,product_specs,,6
public,product_tags,,2
public,products,,19
public,r2_assets,,8
public,shipments,,9
public,tags,,5
public,user_allowed_payment_methods,,5
public,user_recent_products,,3
public,users,,16
